English,EN Definition,Spanish,ES Definition,https://www.saccourt.ca.gov/general/legal-glossaries/docs/spanish-legal-glossary.pdf
ATTORNEY,Someone that is qualified to represent clients in court and to give them legal advice. (See COUNSEL).,ABOGADO,Una persona calificada para representar clientes en un tribunal y darles consejos legales.,
ATTORNEY OF RECORD,The lawyer whose name is listed in a case record as representing someone in the case.,ABOGADO DE REGISTRO,El abogado cuyo nombre consta en los autos judiciales representando a una persona en el caso.,
ATTORNEY–AT–LAW,"An advocate, counsel, or official agent employed in preparing, managing, and trying cases in the courts.",ABOGADO,"Un defensor, consejero, o agente oficial empleado para preparar, manejar y representar clientes en los tribunales.",
ATTORNEY–IN–FACT,"A private person (who is not necessarily a lawyer) authorized by someone to act in his or her place, either for some particular purpose, or for the transaction of business in general. This authority is given in writing, called a power of attorney.",APODERADO,"Un individuo privado (que no necesariamente es abogado) autorizado por alguien para actuar en su nombre, ya sea por razones particulares o para transacciones de negocios en general. Esta autoridad es concedida por escrito, y se llama poder notarial.",
AUDIT,When records or accounts are looked at to check that they are right and complete.,AUDITORÍA,Cuando registros o cuentas son revisados para determinar si están correctos y completos.,
AUTHENTICATE,When records or accounts are looked at to check that they are right and complete.,AUTENTICAR,Al revisar registros y cuentas asegurarse que son correctos y completos.,
AUTO TAMPERING,The manipulation of an automobile and its parts for a specific purpose.,MANIPULAR UN AUTOMÓVIL,La manipulación de un automóvil y sus piezas por razones específicas.,
AUTOMATED ADMINISTRATIVE ENFORCEMENT OF INTERSTATE CASES(AEI),"Part of the Personal Responsibility and Work Opportunity Reconciliation Act (PRWORA) that lets states fine, put a lien on, and take property from people in a different state who owe money.",SISTEMA ADMINISTRATIVO AUTOMATIZADO PARA LA EJECUCIÓN DE CASOS INTERESTATALES,"Parte del Decreto de Reconciliación de Responsabilidad Personal y Oportunidades de Trabajo que permite a los estados multar, embargar, y apoderarse de propiedades que pertenecen a personas que viven en un estado diferente y que tienen deudas pendientes.",
AUTOMATED RESPONSE SYSTEM,Phone system that gives information to people over the phone.,SISTEMA DE  RESPUESTA AUTOMATIZADO,Sistema telefónico para dar información al público por teléfono.,
AVERAGE ADULT PERSON,"A hypothetical person who is used as an example of the entire community. Thishypothetical person represents the interests of all, including persons religious and irreligious; persons of all nationalities, all adult ages and all economic, educational and social standings;  persons with normal, healthy, average contemporary attitudes, instincts and interests concerning sex.  (in the context of obscenity)",PERSONA ADULTA PROMEDIO,"Una persona hipotética que sirve como ejemplo de la comunidad entera. Esta persona hipotética representa los intereses de todos, incluyendo religiosos y no religiosos; personas de todas nacionalidades, adultos de todas las edades, de todos los niveles económicos, educacionales y sociales; personas con actitudes normales, saludables y contemporáneas con relación a instintos e intereses sobre el sexo (en el contexto de obscenidad).",
BACKLOG,All the cases that haven’t been settled or decided in the time the law says they should be.,ACUMULACIÓN,Todos los casos que no han sido resueltos o decididos dentro del   tiempo que declara la ley.,
BAD FAITH,"Generally implies actual or constructive fraud, or a design to mislead or deceive another.",MALA FE,"Generalmente implica que existe fraude verdadero o constructivo, o el deseo de mentir o engañar a otra persona.",
BAIL,A security deposit (usually money) given to release a defendant or witness from custody and to make sure that they go to court when they're supposed to.,FIANZA,Un depósito de seguridad (usualmente dinero) entregado para conseguir la libertad de un acusado o testigo en custodia y para asegurarse que se presente en un tribunal cuando así se lo ordene.,
BAIL BOND,"A legal paper that you buy from a bondsman and give to the court instead of bail. The defendant signs it and is let go. But if they don't come to court when they're supposed to, they must pay the amount of money on the bail bond.",BONO DE FIANZA,"Un documento legal que se compra de un fiador y se entrega al tribunal en lugar de la fianza.  El acusado lo firma y es puesto en libertad.  Pero si no se presenta en el tribunal cuando debe hacerlo, tiene que pagar la cantidad fijada en el bono de fianza.",
BAIL BONDSMAN,Person who is responsible for paying the bond for the defendant's release from jail.,FIADOR DE FIANZAS,El individuo responsable de pagar la fianza para que el acusado salga de la cárcel.,
BAIL EXONERATION,"When you get your bail back.  Or when a bail bondsman or insurance (""surety"") company isn’t responsible for your bail anymore.",EXONERACIÓN DE FIANZA,Cuando se regresa la  fianza. O cuando un fiador de fianza o compañía de aseguranzas ya no es responsable por la fianza.,
BAIL FORFEITURE,A court order to let the court keep the bail deposit because the defendant didn't go to court when they were supposed to.,CADUCIDAD DE LA FIANZA,Una orden judicial permitiéndole al tribunal   quedarse con la fianza porque el acusado no se presentó en el tribunal en la fecha y tiempo debidos.,
BAILIFF,Person who is in charge of security in the court. Bailiffs are picked by sheriffs.,ALGUACIL,Persona que se encarga de la seguridad en el tribunal. Los alguaciles son seleccionados por el jefe de policía.,
BAILMENTS,A delivery of goods from one person to another in trust for purpose of carrying out  agreed upon services.,DEPÓSITOS,Entrega de bienes de una persona a otra bajo la premisa de que los servicios acordados serán cumplidos.,
BAIL NOTICE,A legal paper from the court that says the court will make a WARRANT for arrest unless the defendant goes to court or pays bail.,NOTIFICACIÓN DE FIANZA,"Un documento legal del tribunal que afirma que el tribunal expedirá una orden de arresto a menos que el acusado comparezca ante el tribunal, o que  pague la fianza.",
BAIL RECEIPT,A written statement that the court gives a defendant that says bail was paid.,RECIBO DE FIANZA,Un documento escrito que el tribunal entrega a un acusado en el que declara que la fianza fue pagada.,
BAIL REVIEW,A hearing established to re–evaluate the bail amount that was originally set for the accused.,REVISIÓN DE FIANZA,Una audiencia establecida para revaluar la fianza que originalmente fue establecida para el acusado.,
BALLARD MOTION,A motion for psychiatric examination of prosecutor’s witnesses (victims).,MOCIÓN BALLARD,Una moción para un examen psiquiátrico de los testigos del fiscal (víctimas).,
BANK LEVY,"Way to enforce a decision against someone who owes money.  The money is taken from their checking or savings account at a bank, savings and loan, or credit union.",INCAUTACIÓN DE BANCO,"Una manera de hacer cumplir un fallo contra alguien que debe dinero. Los fondos son retirados de la cuenta de cheques o de ahorros de un banco, o cooperativas de ahorro y crédito.",
BANKRUPT,The state or condition of a person who is unable to pay his or her debts when they are due.,INSOLVENTE,El estado o condición de una persona que no puede pagar sus deudas al debido tiempo.,
BANKRUPTCY,"The legal way for a business or person to get help when they can't pay the money they owe. In bankruptcy court, they can get rid of debts by paying part of what they owe. There are special bankruptcy judges at these hearings.",BANCARROTA,"La manera legal en que una persona o negocio recibe ayuda  cuando no puede pagar sus deudas.  En el tribunal de bancarrota, se liberan de deudas  pagando parte de lo que deben. Audiencias de bancarrota son conducidas por jueces especiales.",
BAR,"All of the lawyers qualified to practice law. For example, a state bar includes all of the lawyers qualified to practice law in that state.",ASOCIACIÓN DE ABOGADOS,"Organización de abogados calificados para ejercer leyes. Por ejemplo, una asociación estatal de abogados incluye a todos los abogados calificados para ejercer leyes en ese estado.",
BAR EXAMINATION,A state examination that is taken in order to be admitted and licensed to practice law.,EXAMEN DE ABOGACÍA,Un examen estatal tomado para ser admitido y autorizado para ejercer leyes.,
BASE TERM,A term of imprisonment selected by the court according to the Determinate Sentencing Law.,PLAZO,Un periodo de encarcelación seleccionado por el tribunal de acuerdo a la Ley de  Sentencia  Determinada.,
BATTERED CHILD SYNDROME (B.C.S.),Physical condition of a child where external or internal injuries result from acts committed by a parent or custodian.,SÍNDROME DE AGRESION INFANTIL,Condición física de un niño en la que lesiones internas y externas resultaron por actos cometidos por un padre o guardián.,
BATTERY,Illegal beating or physical violence or control of a person without their permission. (Compare with ASSAULT.),AGRESIÓN VIOLENTA,Agresión ilegal o violencia física o control de una persona sin su consentimiento (comparar con AGRESIÓN).,
"BATTERY, SPOUSAL",An offensive touching or use of force on a spouse without the spouse's consent. See BATTERY.,AGRESIÓN DE CONYUGE,Contacto ofensivo o uso de fuerza contra un cónyuge sin su consentimiento. (ver AGRESIÓN VIOLENTA).,
BEAGLE MOTION,A request to exclude any reference of the defendant’s prior conviction to the jury.,MOCIÓN BEAGLE,Una petición para excluir ante el jurado cualquier referencia a una condena previa del acusado.,
BEHAVIOR INTERVENTION PLAN,"Plan made by a local educational agency (LEA) as part of an individualized education program (IEP), to change the behavior of students who harm themselves, assault others, or are destructive.",PLAN DE INTERVENCIÓN DE CONDUCTA,"Plan hecho por la agencia local de educación como parte de un programa educativo individualizado, para cambiar el comportamiento de estudiantes que se hacen daño a sí mismos, agreden a otros o son destructivos.",
BENCH,"(1) the desk where a judge sits in court; (2) Judges in general, or a specific judge.",BANCO  O TRIBUNAL,"(1) el escritorio donde se sienta el juez en el tribunal; (2) Jueces en general, o un juez específico.",
